Standard
Act CXVI of 1996
Ministerial Decree 55/2012. (IX. 17.) NFM
Ministerial Decree 55/2013. (X. 2.) BM
Ministerial Decree 55/2023. (XII. 28.) GFM
Ministerial Decree 61/1999. (XII. 1.) E?M
Ministerial Decree 61/2013. (X. 17.) NFM
Ministerial Decree 62/1997. (XI. 26.) IKIM
Ministerial Decree 62/2006. (VIII. 30.) GKM
Ministerial Decree 62/2011. (VI. 30.) VM
Ministerial Decree 62/2013. (X. 17.) NFM
Ministerial Decree 63/2004. (IV. 27.) GKM
Ministerial Decree 63/2004. (VII. 26.) ESzCsM
Ministerial Decree 65/1999. (XII. 22) E?M
Ministerial Decree 66/2005. (XII. 22.) E?M
Ministerial Decree 68/2007. (VII. 26.) FVM-E?M-SZMM
Ministerial Decree 72/2003. (X. 29.) GKM
Ministerial Decree 72/2013. (VIII. 27.) VM
Ministerial Decree 85/2000. (XI. 8.) FVM
Ministerial Decree 90/2008. (VII. 18.) FVM
Ministerial Decree 93/1989. (VIII. 22.) MT
Ministerial Decree 93/2007. (XII. 18.) KvVM
Ministerial Decree 101/2007. (XII. 23.) KvVM
Ministerial Decree 101/2023. (XII. 29.) BM
Ministerial Decree 103/2003. (XII. 27.) GKM
Ministerial Decree 122/2004. (X. 15.) GKM
Ministerial Decree 133/2013. (XII. 29.) VM
Ministerial Decree 143/2004. (XII. 22.) GKM
HAEA Decree 2/2022. (IV. 29.)
HAEA Decree 3/2022. (IV. 29.)
HAEA Decree 4/2022. (IV. 29.)
HAEA Decree 5/2022. (IV. 29.)
HAEA Decree 7/2022. (IV. 29.)
HAEA Decree 9/2022. (XII. 29.)
NMHH Decree 2/2013. (I. 7.)
NMHH Decree 7/2015. (XI. 13.)
NMHH Decree 14/2013. (IX. 25.)
NMHH Decree 15/2012. (XII. 29.)
NMHH Decree 20/2020. (XII. 18.)
SZTFH Decree 14/2022. (I. 28.)
Municipial Decree 18/2013. (V. 28.)
Municipal Decree 24/2003. (XII.31.)
Municipal Decree 33/2016. (VIII. 22.)
Decree of the City of Paks 32/2008. (XII. 17.)
15/1998/IKK.8
IAEA SF-1
IAEA NS-R-3
IAEA SSR-1
IAEA NS-R-1
IAEA SSR-2/1 (Rev.1)
IAEA SSR-2/2
IAEA SSR-2/2 (Rev. 1)
IAEA TS-R-1
IAEA SSR-6 (Rev.1)
IAEA SRS 19
IAEA SRS 28
IAEA SRS 46
IAEA SRS 65
IAEA SRS 77
IAEA SRS 87
IAEA SRS 120
IAEA GS-R-3
IAEA GSR Part 2
IAEA Safety Series 115
IAEA GSR Part 3
IAEA GSR Part 4 (Rev. 1)
IAEA GSR Part 5
IAEA GSR Part 6
IAEA GSR Part 7
IAEA NS-G-1
IAEA NS-G-1.3
IAEA SSG-39
IAEA NS-G-1.4
IAEA SSG-63
IAEA NS-G-1.5
IAEA SSG-68
IAEA NS-G-1.6
IAEA SSG-67
IAEA NS-G-1.7
IAEA SSG-64
IAEA NS-G-1.8
IAEA SSG-34
IAEA NS-G-1.9
IAEA SSG-56
IAEA NS-G-1.10
IAEA SSG-53
IAEA NS-G-1.11
IAEA NS-G-1.12
IAEA SSG-52
IAEA NS-G-1.13
IAEA NS-G-2.1
IAEA SSG-77
IAEA NS-G-2.2
IAEA SSG-70
IAEA NS-G-2.4
IAEA SSG-72
IAEA NS-G-2.5
IAEA SSG-73
IAEA NS-G-2.6
IAEA SSG-74
IAEA NS-G-2.8
IAEA SSG-75
IAEA NS-G-2.9
IAEA SSG-28
IAEA NS-G-2.12
IAEA SSG-48
IAEA NS-G-2.13
IAEA SSG-89
IAEA NS-G-2.14
IAEA SSG?76
IAEA NS-G-2.15
IAEA SSG-54
IAEA 50-SG-S9
IAEA NS-G-3.1
IAEA SSG-79
IAEA NS-G-3.2
IAEA NS-G-3.6
